,Date,Location,Site,PitID,latitude,longitude
263,2019-12-19,East River,Irwin Barn,COERIB,38.88812,-107.10796
264,2020-01-17,East River,Irwin Barn,COERIB,38.88812,-107.10796
265,2020-01-22,East River,Irwin Barn,COERIB,38.88812,-107.10796
266,2020-01-29,East River,Irwin Barn,COERIB,38.88812,-107.10796
267,2020-02-05,East River,Irwin Barn,COERIB,38.88812,-107.10796
268,2020-02-12,East River,Irwin Barn,COERIB,38.88812,-107.10796
269,2020-02-19,East River,Irwin Barn,COERIB,38.88812,-107.10796
270,2020-02-26,East River,Irwin Barn,COERIB,38.88812,-107.10796
271,2020-03-12,East River,Irwin Barn,COERIB,38.88812,-107.10796
272,2020-04-08,East River,Irwin Barn,COERIB,38.88812,-107.10796
273,2020-04-22,East River,Irwin Barn,COERIB,38.88812,-107.10796
274,2020-05-06,East River,Irwin Barn,COERIB,38.88812,-107.10796
275,2020-05-20,East River,Irwin Barn,COERIB,38.88812,-107.10796
276,2020-02-01,CB,O6,2,38.92657,-106.97986
277,2020-02-01,CB,Aspen,3,38.92528,-106.97094
278,2020-02-01,CB,Aspen,2,38.92534,-106.97095
279,2020-02-01,CB,Aspen,1,38.92529,-106.97108
280,2020-02-01,CB,F12,2,38.92973,-106.97809
281,2020-02-01,CB,F12 ,1,38.9297,-106.97818
282,2020-02-01,CB,F12 ,3,38.92978,-106.97814
283,2020-02-01,CB,F14,3,38.92893,-106.97759
284,2020-02-01,CB,F14,1,38.92892,-106.97768
285,2020-02-01,CB,F14,2,38.92887,-106.97758
286,2020-02-01,CB,O2,1,38.92669,-106.97835
287,2020-02-01,CB,O2,2,38.92664,-106.97849
288,2020-02-01,CB,O2,3,38.92667,-106.9785
289,2020-02-01,CB,O4,1,38.92632,-106.97921
290,2020-02-01,CB,O4,3,38.92638,-106.97933
291,2020-02-01,CB,O4,2,38.92635,-106.97915
292,2020-02-01,CB,O6,1,38.92667,-106.97976
293,2020-02-01,CB,O6,3,38.92663,-106.98
294,2020-02-02,CB,Upper,1,38.93336,-106.9899
295,2020-02-02,CB,Upper,2,38.9333,-106.98992
296,2020-02-02,CB,Upper,3,38.93315,-106.98975
297,2020-02-26,CB,Aspen,1,38.92532,-106.97115
298,2020-02-26,CB,Aspen,2,38.92533,-106.97116
299,2020-02-26,CB,F13,3,38.92924,-106.97778
300,2020-02-26,CB,F13,1,38.92947,-106.97789
301,2020-02-26,CB,F13,2,38.92938,-106.97777
302,2020-02-26,CB,O2,3,38.92665,-106.97862
303,2020-02-26,CB,F14,1,38.92876,-106.97992
304,2020-02-26,CB,F14,2,38.92881,-106.97781
305,2020-02-26,CB,F14,3,38.92878,-106.97781
306,2020-02-26,CB,O2,2,38.92967,-106.97829
307,2020-02-26,CB,O2,1,38.92665,-106.97862
308,2020-02-26,CB,O4,1,38.92648,-106.97928
309,2020-02-26,CB,O4,2,38.92648,-106.97927
310,2020-02-26,CB,O4,3,38.92633,-106.97924
311,2020-02-26,CB,O6,2,38.92664,-106.97982
312,2020-02-26,CB,Upper,3,38.93343,-106.98983
313,2020-02-26,CB,Upper,2,38.9333,-106.98993
314,2020-04-27,CB,Aspen,2,38.92529,-106.97107
315,2020-04-27,CB,Aspen,1,38.92524,-106.97112
316,2020-02-26,CB,Upper,1,38.93331,-106.98987
317,2020-04-27,CB,Aspen,3,38.92529,-106.97114
318,2020-04-27,CB,O6,1,38.92682,-106.97995
319,2020-04-27,CB,O2,2,38.92653,-106.97835
320,2020-04-27,CB,O2,1,38.92658,-106.97845
321,2020-04-27,CB,O2,3,38.92649,-106.97842
322,2020-04-27,CB,O6,2,38.92681,-106.98001
323,2020-04-27,CB,O6,3,38.92679,-106.98001
324,2020-04-28,CB,F12,1,38.92974,-106.97822
325,2020-04-28,CB,F12,2,38.92974,-106.97817
326,2020-04-28,CB,F12,3,38.92977,-106.9782
327,2020-04-28,CB,F13,1,38.92938,-106.97774
328,2020-04-28,CB,F13,2,38.92941,-106.97768
329,2020-04-28,CB,F13,3,38.92947,-106.97775
330,2020-04-28,CB,F14,3,38.92902,-106.97762
