,Unnamed: 0,Date,Location,Site,PitID,Latitude,Longitude,UTME,UTMN,UTMzone
170,170,1/29/20,Jemez River,Headquarters Met Station,NMJRHQ,35.85789863854342,-106.52137954566871,362631,3969256,13
171,171,2/5/20,Jemez River,Headquarters Met Station,NMJRHQ,35.85788962557287,-106.52137937341779,362631,3969255,13
172,172,2/12/20,Jemez River,Headquarters Met Station,NMJRHQ,35.85788990601589,-106.52135723016718,362633,3969255,13
173,173,2/20/20,Jemez River,Headquarters Met Station,NMJRHQ,35.85791694492776,-106.52135774691266,362633,3969258,13
174,174,2/26/20,Jemez River,Headquarters Met Station,NMJRHQ,35.85791694492776,-106.52135774691266,362633,3969258,13
175,175,3/4/20,Jemez River,Headquarters Met Station,NMJRHQ,35.85815142237984,-106.52135115374048,362634,3969284,13
176,176,1/24/20,Little Cottonwood,Alta Collins Study Plot,UTLCAC,40.57209515496177,-111.62997272967169,446677,4491448,12
177,177,1/31/20,Little Cottonwood,Alta Collins Study Plot,UTLCAC,40.57209515496177,-111.62997272967169,446677,4491448,12
178,178,2/13/20,Little Cottonwood,Alta Collins Study Plot,UTLCAC,40.57209515496177,-111.62997272967169,446677,4491448,12
179,179,2/20/20,Little Cottonwood,Alta Collins Study Plot,UTLCAC,40.57209515496177,-111.62997272967169,446677,4491448,12
180,180,2/27/20,Little Cottonwood,Alta Collins Study Plot,UTLCAC,40.57209515496177,-111.62997272967169,446677,4491448,12
181,181,3/5/20,Little Cottonwood,Alta Collins Study Plot,UTLCAC,40.57209515496177,-111.62997272967169,446677,4491448,12
182,182,3/12/20,Little Cottonwood,Alta Collins Study Plot,UTLCAC,40.57209515496177,-111.62997272967169,446677,4491448,12
183,183,1/24/20,Little Cottonwood,Atwater Study Plot,UTLCAW,40.591251156433465,-111.63758572564954,446048,4493579,12
184,184,1/31/20,Little Cottonwood,Atwater Study Plot,UTLCAW,40.591251156433465,-111.63758572564954,446048,4493579,12
185,185,2/13/20,Little Cottonwood,Atwater Study Plot,UTLCAW,40.591251156433465,-111.63758572564954,446048,4493579,12
186,186,2/20/20,Little Cottonwood,Atwater Study Plot,UTLCAW,40.591251156433465,-111.63758572564954,446048,4493579,12
187,187,2/27/20,Little Cottonwood,Atwater Study Plot,UTLCAW,40.591251156433465,-111.63758572564954,446048,4493579,12
188,188,3/5/20,Little Cottonwood,Atwater Study Plot,UTLCAW,40.591251156433465,-111.63758572564954,446048,4493579,12
189,189,3/12/20,Little Cottonwood,Atwater Study Plot,UTLCAW,40.591251156433465,-111.63758572564954,446048,4493579,12
190,190,12/18/19,Mammoth Lakes,CUES Study Plot,CAMLCP,37.64327270195358,-119.02906992316262,320984,4168173,11
191,191,1/22/20,Mammoth Lakes,CUES Study Plot,CAMLCP,37.6432901327812,-119.02910439756633,320981,4168175,11
192,192,1/29/20,Mammoth Lakes,CUES Study Plot,CAMLCP,37.643281514824245,-119.02908149633454,320983,4168174,11
193,193,2/6/20,Mammoth Lakes,CUES Study Plot,CAMLCP,37.643263499262474,-119.02908100609996,320983,4168172,11
194,194,2/12/20,Mammoth Lakes,CUES Study Plot,CAMLCP,37.643245678610675,-119.02906918781532,320984,4168170,11
195,195,2/19/20,Mammoth Lakes,CUES Study Plot,CAMLCP,37.64326408398962,-119.02904702193997,320986,4168172,11
196,196,2/26/20,Mammoth Lakes,CUES Study Plot,CAMLCP,37.64319241155211,-119.02902240495341,320988,4168164,11
197,197,3/4/20,Mammoth Lakes,CUES Study Plot,CAMLCP,37.643192021740454,-119.02904506103877,320986,4168164,11
198,198,3/11/20,Mammoth Lakes,CUES Study Plot,CAMLCP,37.643192021740454,-119.02904506103877,320986,4168164,11
199,199,12/18/19,Mammoth Lakes,Panorama Dome,CAMLPD,37.61964725259445,-119.00034086017564,323463,4165497,11
200,200,1/24/20,Mammoth Lakes,Panorama Dome,CAMLPD,37.61965741284653,-119.00027315359056,323469,4165498,11
201,201,1/29/20,Mammoth Lakes,Panorama Dome,CAMLPD,37.619648020782336,-119.00029556149734,323467,4165497,11
202,202,2/5/20,Mammoth Lakes,Panorama Dome,CAMLPD,37.619639396892985,-119.00027267072461,323469,4165496,11
203,203,2/12/20,Mammoth Lakes,Panorama Dome,CAMLPD,37.619639396892985,-119.00027267072461,323469,4165496,11
204,204,2/19/20,Mammoth Lakes,Panorama Dome,CAMLPD,37.61959435700889,-119.00027146356165,323469,4165491,11
205,205,12/18/19,Niwot Ridge,C1,CONWC1,40.03317328415211,-105.5461645827047,453402,4431582,13
206,206,1/22/20,Niwot Ridge,C1,CONWC1,40.03317328415211,-105.5461645827047,453402,4431582,13
207,207,1/29/20,Niwot Ridge,C1,CONWC1,40.03317328415211,-105.5461645827047,453402,4431582,13
208,208,2/5/20,Niwot Ridge,C1,CONWC1,40.03317328415211,-105.5461645827047,453402,4431582,13
209,209,2/12/20,Niwot Ridge,C1,CONWC1,40.03317328415211,-105.5461645827047,453402,4431582,13
210,210,2/19/20,Niwot Ridge,C1,CONWC1,40.03317328415211,-105.5461645827047,453402,4431582,13
211,211,2/26/20,Niwot Ridge,C1,CONWC1,40.03317328415211,-105.5461645827047,453402,4431582,13
212,212,3/4/20,Niwot Ridge,C1,CONWC1,40.03317328415211,-105.5461645827047,453402,4431582,13
213,213,3/11/20,Niwot Ridge,C1,CONWC1,40.03317328415211,-105.5461645827047,453402,4431582,13
214,214,12/18/19,Niwot Ridge,Saddle,CONWSA,40.05496566768546,-105.59064515364149,449623,4434025,13
215,215,1/29/20,Niwot Ridge,Saddle,CONWSA,40.05496566768546,-105.59064515364149,449623,4434025,13
216,216,2/5/20,Niwot Ridge,Saddle,CONWSA,40.05496566768546,-105.59064515364149,449623,4434025,13
217,217,2/12/20,Niwot Ridge,Saddle,CONWSA,40.05496566768546,-105.59064515364149,449623,4434025,13
218,218,2/19/20,Niwot Ridge,Saddle,CONWSA,40.05496566768546,-105.59064515364149,449623,4434025,13
219,219,2/26/20,Niwot Ridge,Saddle,CONWSA,40.05496566768546,-105.59064515364149,449623,4434025,13
