,Identifier,PitID,Location,Site,Easting,Northing,Zone,Latitude,Longitude,Date,Local/Standard Time
199,COFEJ1_20200304_1220,COFEJ1,Fraser Experimental Forest,JPL 1,424539,4417644,13,39.90552,-105.88281,3/4,12:20:00
200,COFEJ1_20200311_0915,COFEJ1,Fraser Experimental Forest,JPL 1,424539,4417643,13,39.90551,-105.88281,3/11,9:15:00
201,COFEJ1_20200318_1440,COFEJ1,Fraser Experimental Forest,JPL 1,424539,4417642,13,39.9055,-105.88281,3/18,14:40:00
202,COFEJ2_20191024_1322,COFEJ2,Fraser Experimental Forest,JPL 2,424563,4417715,13,39.90616,-105.88254,10/24,13:22:00
203,COFEJ2_20191029_1254,COFEJ2,Fraser Experimental Forest,JPL 2,424562,4417711,13,39.90613,-105.88255,10/29,12:54:00
204,COFEJ2_20191124_1155,COFEJ2,Fraser Experimental Forest,JPL 2,424562,4417710,13,39.90612,-105.88255,11/24,11:55:00
205,COFEJ2_20191203_1310,COFEJ2,Fraser Experimental Forest,JPL 2,424562,4417712,13,39.90614,-105.88255,12/3,13:10:00
206,COFEJ2_20191210_1245,COFEJ2,Fraser Experimental Forest,JPL 2,424562,4417710,13,39.90612,-105.88255,12/10,12:45:00
207,COFEJ2_20191216_1232,COFEJ2,Fraser Experimental Forest,JPL 2,424557,4417713,13,39.90614,-105.88261,12/16,12:32:00
208,COFEJ2_20191230_1227,COFEJ2,Fraser Experimental Forest,JPL 2,424562,4417713,13,39.90614,-105.88255,12/30,12:27:00
209,COFEJ2_20200104_1200,COFEJ2,Fraser Experimental Forest,JPL 2,424562,4417716,13,39.90617,-105.88255,1/4,12:00:00
210,COFEJ2_20200108_1208,COFEJ2,Fraser Experimental Forest,JPL 2,424563,4417713,13,39.90614,-105.88254,1/8,12:08:00
211,COFEJ2_20200119_1140,COFEJ2,Fraser Experimental Forest,JPL 2,424563,4417711,13,39.90613,-105.88254,1/19,11:40:00
212,COFEJ2_20200205_1200,COFEJ2,Fraser Experimental Forest,JPL 2,424565,4417710,13,39.90612,-105.88252,2/5,12:00:00
213,COFEJ2_20200210_1345,COFEJ2,Fraser Experimental Forest,JPL 2,424563,4417709,13,39.90611,-105.88254,2/10,13:45:00
214,COFEJ2_20200221_1145,COFEJ2,Fraser Experimental Forest,JPL 2,424563,4417708,13,39.9061,-105.88254,2/21,11:45:00
215,COFEJ2_20200304_1320,COFEJ2,Fraser Experimental Forest,JPL 2,424564,4417707,13,39.90609,-105.88253,3/4,13:20:00
216,COFEJ2_20200311_1030,COFEJ2,Fraser Experimental Forest,JPL 2,424564,4417706,13,39.90608,-105.88253,3/11,10:30:00
217,COFEJ2_20200318_1400,COFEJ2,Fraser Experimental Forest,JPL 2,424564,4417705,13,39.90607,-105.88253,3/18,14:00:00
218,COFEB1_20191219_1404,COFEB1,Fraser Experimental Forest,SNB 1,424961,4417795,13,39.90692,-105.87789,12/19,14:04:00
